group;word
Finfish_and_Shellfish_Products;pike
Finfish_and_Shellfish_Products;pollock
Finfish_and_Shellfish_Products;pompano
Finfish_and_Shellfish_Products;rockfish
Finfish_and_Shellfish_Products;roe
Finfish_and_Shellfish_Products;roughy
Finfish_and_Shellfish_Products;sablefish
Finfish_and_Shellfish_Products;sardine
Finfish_and_Shellfish_Products;scup
Finfish_and_Shellfish_Products;sea bass
Finfish_and_Shellfish_Products;seatrout
Finfish_and_Shellfish_Products;shad
Finfish_and_Shellfish_Products;shark
Finfish_and_Shellfish_Products;sheepshead
Finfish_and_Shellfish_Products;smelt
Finfish_and_Shellfish_Products;snapper
Finfish_and_Shellfish_Products;spot
Finfish_and_Shellfish_Products;sturgeon
Finfish_and_Shellfish_Products;sucker
Finfish_and_Shellfish_Products;sunfish
Finfish_and_Shellfish_Products;surimi
Finfish_and_Shellfish_Products;swordfish
Finfish_and_Shellfish_Products;tilefish
Finfish_and_Shellfish_Products;trout
Finfish_and_Shellfish_Products;tuna
Finfish_and_Shellfish_Products;tuna salad
Finfish_and_Shellfish_Products;turbot
Finfish_and_Shellfish_Products;whitefish
Finfish_and_Shellfish_Products;whiting
Finfish_and_Shellfish_Products;wolffish
Finfish_and_Shellfish_Products;yellowtail
Finfish_and_Shellfish_Products;crab
Finfish_and_Shellfish_Products;crayfish
Finfish_and_Shellfish_Products;lobster
Finfish_and_Shellfish_Products;shrimp
Finfish_and_Shellfish_Products;spiny lobster
Finfish_and_Shellfish_Products;abalone
Finfish_and_Shellfish_Products;clam
Finfish_and_Shellfish_Products;cuttlefish
Finfish_and_Shellfish_Products;mussel
Finfish_and_Shellfish_Products;octopus
Finfish_and_Shellfish_Products;oyster
Finfish_and_Shellfish_Products;scallop
Finfish_and_Shellfish_Products;squid
Finfish_and_Shellfish_Products;whelk
Finfish_and_Shellfish_Products;conch
Finfish_and_Shellfish_Products;snail
Finfish_and_Shellfish_Products;engraulis encrasicholus (l.)
Finfish_and_Shellfish_Products;percichthyidae and centrarchidae
Finfish_and_Shellfish_Products;morone saxatilis (walbaum)
Finfish_and_Shellfish_Products;pomatomus saltatrix (l.)
Finfish_and_Shellfish_Products;lota lota (l.)
Finfish_and_Shellfish_Products;peprilus triacanthus (peck)
Finfish_and_Shellfish_Products;cyprinus carpio (l.)
Finfish_and_Shellfish_Products;ictalurus punctatus (rafinesque)
Finfish_and_Shellfish_Products;coregonus artedi lesueur
Finfish_and_Shellfish_Products;gadus morhua (l.)
Finfish_and_Shellfish_Products;gadus macrocephalus tilesius
Finfish_and_Shellfish_Products;micropogonias undulatus (l.)
Finfish_and_Shellfish_Products;brosme brosme (muller)
Finfish_and_Shellfish_Products;coryphaena hippurus (l.)
Finfish_and_Shellfish_Products;aplodinotus grunniens rafinesque
Finfish_and_Shellfish_Products;anguilla spp.
Finfish_and_Shellfish_Products;bothidae and pleuronectidae
Finfish_and_Shellfish_Products;epinephelus spp.
Finfish_and_Shellfish_Products;melanogrammus aeglefinus (l.)
Finfish_and_Shellfish_Products;hippoglossus hippoglossus (l.) and h. stenolepis schmidt
Finfish_and_Shellfish_Products;reinhardtius hippoglossoides (walbaum)
Finfish_and_Shellfish_Products;clupea harengus harengus (l.)
Finfish_and_Shellfish_Products;clupea harengus pallasi valenciennes
Finfish_and_Shellfish_Products;molva molva (l.)
Finfish_and_Shellfish_Products;ophiodon elongatus girard
Finfish_and_Shellfish_Products;scomber scombrus l.
Finfish_and_Shellfish_Products;trachurus symmetricus (ayers)
Finfish_and_Shellfish_Products;scombermorus cavalla (cuvier)
Finfish_and_Shellfish_Products;scomber spp. and trachurus spp.
Finfish_and_Shellfish_Products;scombermorus maculatus (mitchill)
Finfish_and_Shellfish_Products;chanos chanos (forskaal)
Finfish_and_Shellfish_Products;lophius piscatorius l.
Finfish_and_Shellfish_Products;mugil cephalus l.
Finfish_and_Shellfish_Products;sebastes marinus l.
Finfish_and_Shellfish_Products;macrozoarces americanus (schneider)
Finfish_and_Shellfish_Products;morone americana gmelin and perca flavescens (mitchill)
Finfish_and_Shellfish_Products;esox lucius l.
Finfish_and_Shellfish_Products;stizostedion vitreum vitreum (mitchill)
Finfish_and_Shellfish_Products;pollachius virens l.
Finfish_and_Shellfish_Products;theragra chalcogramma (pallas)
Finfish_and_Shellfish_Products;trachinotus carolinus (l.)
Finfish_and_Shellfish_Products;sebastes spp.
Finfish_and_Shellfish_Products;hoplostethus atlanticus
Finfish_and_Shellfish_Products;anoplopoma fimbria (pallas)
Finfish_and_Shellfish_Products;salmo salar l.
Finfish_and_Shellfish_Products;oncorhynchus tshawytscha (walbaum)
Finfish_and_Shellfish_Products;oncorhynchus keta (walbaum)
Finfish_and_Shellfish_Products;oncorhynchus kisutch (walbaum)
Finfish_and_Shellfish_Products;oncorhynchus gorbuscha (walbaum)
Finfish_and_Shellfish_Products;clupea harengus harengus l.
Finfish_and_Shellfish_Products;sardinops spp.
Finfish_and_Shellfish_Products;stenotomus chrysops l.
Finfish_and_Shellfish_Products;centropristes striata l. and lateolabrax japonicus (cuvier)
Finfish_and_Shellfish_Products;cynoscion spp.
Finfish_and_Shellfish_Products;alosa sapidissima (wilson)
Finfish_and_Shellfish_Products;squaliformes
Finfish_and_Shellfish_Products;archosargus probatocephalus (walbaum)
Finfish_and_Shellfish_Products;osmerus mordax (mitchill)
Finfish_and_Shellfish_Products;lutjanidae
Finfish_and_Shellfish_Products;leiostomus xanthuras lacepede
Finfish_and_Shellfish_Products;acipenser spp.
Finfish_and_Shellfish_Products;catostomus commersoni (lacepede)
Finfish_and_Shellfish_Products;lepomis gibbosus (l.)
Finfish_and_Shellfish_Products;xiphias gladius l.
Finfish_and_Shellfish_Products;lopholatilus chamaeleonticeps goode and bean
Finfish_and_Shellfish_Products;salmonidae
Finfish_and_Shellfish_Products;salmo gairdneri richardson
Finfish_and_Shellfish_Products;thunnus thynnus (l.)
Finfish_and_Shellfish_Products;euthynnus pelamis (l.)
Finfish_and_Shellfish_Products;thunnus albacares (bonnaterre)
Finfish_and_Shellfish_Products;scophthalmus maximus (l.)
Finfish_and_Shellfish_Products;coregonus spp.
Finfish_and_Shellfish_Products;gadidae
Finfish_and_Shellfish_Products;anarhichas lupus (l.)
