CURRENT OPINION IN COLLOID & INTERFACE SCIENCE	5.84
HAEMATOLOGICA	5.814
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS	5.81
CELLULAR AND MOLECULAR LIFE SCIENCES	5.808
MACROMOLECULES	5.8
Advanced Healthcare Materials	5.797
Open Biology	5.784
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	5.781
CLINICAL MICROBIOLOGY AND INFECTION	5.768
ACS Macro Letters	5.764
PLANT BIOTECHNOLOGY JOURNAL	5.752
BIOMACROMOLECULES	5.75
CURRENT ISSUES IN MOLECULAR BIOLOGY	5.75
FREE RADICAL BIOLOGY AND MEDICINE	5.736
CHEMISTRY-A EUROPEAN JOURNAL	5.731
ARCHIVES OF PEDIATRICS & ADOLESCENT MEDICINE	5.731
ALIMENTARY PHARMACOLOGY & THERAPEUTICS	5.727
STROKE	5.723
MEDICINE	5.723
Eurosurveillance	5.722
JOURNAL OF THROMBOSIS AND HAEMOSTASIS	5.72
Stem Cells Translational Medicine	5.709
PROGRESS IN SURFACE SCIENCE	5.696
Nanophotonics	5.686
MOLECULAR CANCER THERAPEUTICS	5.683
AMERICAN JOURNAL OF TRANSPLANTATION	5.683
MOVEMENT DISORDERS	5.68
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE	5.678
MRS BULLETIN	5.667
PRECAMBRIAN RESEARCH	5.664
ADVANCED SYNTHESIS & CATALYSIS	5.663
CURRENT OPINION IN LIPIDOLOGY	5.656
Circulation-Cardiovascular Quality and Outcomes	5.656
ANALYTICAL CHEMISTRY	5.636
CANCER LETTERS	5.621
Translational Psychiatry	5.62
Brain Structure & Function	5.618
STRUCTURE	5.618
APPLIED ENERGY	5.613
ACTA PSYCHIATRICA SCANDINAVICA	5.605
ACTA PSYCHIATRICA SCANDINAVICA	5.605
CLINICAL SCIENCE	5.598
HEART	5.595
Scientific Reports	5.578
REVIEWS IN MEDICAL VIROLOGY	5.574
INTERNATIONAL JOURNAL OF PLASTICITY	5.567
BLOOD REVIEWS	5.565
NEURO-ONCOLOGY	5.562
ENVIRONMENT INTERNATIONAL	5.559
AIDS	5.554
BRITISH JOURNAL OF SURGERY	5.542
Family Business Review	5.528
WATER RESEARCH	5.528
EXPERT OPINION ON INVESTIGATIONAL DRUGS	5.528
JOURNAL OF EXPERIMENTAL BOTANY	5.526
JOURNAL OF ECOLOGY	5.521
Polymer Chemistry	5.52
Cryosphere	5.516
JOURNAL OF CLINICAL PSYCHIATRY	5.498
JOURNAL OF CLINICAL PSYCHIATRY	5.498
Journal of Chemical Theory and Computation	5.498
CHEMICAL RECORD	5.492
BREAST CANCER RESEARCH	5.49
DNA RESEARCH	5.477
PEDIATRICS	5.473
ALTEX-Alternatives to Animal Experimentation	5.467
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY	5.463
JOURNAL OF MEDICINAL CHEMISTRY	5.447
CRITICAL REVIEWS IN PLANT SCIENCES	5.442
ANNALS OF FAMILY MEDICINE	5.434
JOURNAL OF CELL SCIENCE	5.432
Catalysis Science & Technology	5.426
JOURNAL OF FINANCE	5.424
IEEE WIRELESS COMMUNICATIONS	5.417
EUROPEAN JOURNAL OF CANCER	5.417
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	5.416
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	5.416
BASIC RESEARCH IN CARDIOLOGY	5.414
Molecular Autism	5.413
Nanomedicine	5.413
Journal of Neuroinflammation	5.408
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	5.407
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	5.383
BIOSCIENCE	5.377
GASTROINTESTINAL ENDOSCOPY	5.369
Stem Cell Reports	5.365
ADDICTION BIOLOGY	5.359
CYTOKINE & GROWTH FACTOR REVIEWS	5.357
DRUG METABOLISM REVIEWS	5.356
JOURNAL OF ECONOMIC LITERATURE	5.354
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS	5.353
Astrophysical Journal Letters	5.339
EUROPEAN JOURNAL OF EPIDEMIOLOGY	5.339
Genome Medicine	5.338
Journal of Biomedical Nanotechnology	5.338
SOLAR ENERGY MATERIALS AND SOLAR CELLS	5.337
CARCINOGENESIS	5.334
Epigenetics & Chromatin	5.333
ACS Chemical Biology	5.331
Molecular Oncology	5.331
ENVIRONMENTAL SCIENCE & TECHNOLOGY	5.33
Advances in Cancer Research	5.321
Advances in Experimental Social Psychology	5.318
Circulation-Cardiovascular Imaging	5.316
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY	5.313
MIS QUARTERLY	5.311
MIS QUARTERLY	5.311
CURRENT OPINION IN NEUROLOGY	5.307
PERSOONIA	5.3
AMERICAN JOURNAL OF BIOETHICS	5.288
AMERICAN JOURNAL OF BIOETHICS	5.288
Journal of Thoracic Oncology	5.282
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME	5.28
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY	5.279
PROCEEDINGS OF THE NUTRITION SOCIETY	5.273
AMERICAN JOURNAL OF EPIDEMIOLOGY	5.23
PAIN	5.213
WILDLIFE MONOGRAPHS	5.2
Journal of Tissue Engineering and Regenerative Medicine	5.199
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION	5.176
OBSTETRICS AND GYNECOLOGY	5.175
SEMINARS IN IMMUNOLOGY	5.17
Advances in Geophysics	5.167
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS	5.162
JOURNAL OF ABNORMAL PSYCHOLOGY	5.153
EXPERT REVIEWS IN MOLECULAR MEDICINE	5.152
AMERICAN JOURNAL OF SURGICAL PATHOLOGY	5.145
HUMAN MUTATION	5.144
EXPERT OPINION ON THERAPEUTIC TARGETS	5.139
MOLECULAR NEUROBIOLOGY	5.137
CORTEX	5.128
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS	5.122
CNS DRUGS	5.113
JOURNAL OF MOLECULAR MEDICINE-JMM	5.107
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	5.107
NEUROPHARMACOLOGY	5.106
CRITICAL REVIEWS IN TOXICOLOGY	5.097
Journal of the International AIDS Society	5.09
BULLETIN OF THE WORLD HEALTH ORGANIZATION	5.089
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	5.089
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	5.089
INTERNATIONAL JOURNAL OF CANCER	5.085
EUROPEAN PHYSICAL JOURNAL C	5.084
NEUROBIOLOGY OF DISEASE	5.078
HEART RHYTHM	5.076
MATRIX BIOLOGY	5.074
COGNITIVE PSYCHOLOGY	5.064
COGNITIVE PSYCHOLOGY	5.064
JOURNAL OF MEMBRANE SCIENCE	5.056
Neurotherapeutics	5.054
ATMOSPHERIC CHEMISTRY AND PHYSICS	5.053
ENDOSCOPY	5.053
